Step,New Cells,Rate (%)
1,1551,0.3029296875
2,1576,0.6107421875
3,1484,0.9005859374999999
4,1532,1.1998046875
5,1504,1.4935546875
6,1492,1.7849609375
7,1548,2.0873046875
8,1523,2.384765625
9,1470,2.671875
10,1518,2.968359375
11,1487,3.2587890624999996
12,1487,3.54921875
13,1453,3.8330078125
14,1449,4.116015625
15,1447,4.3986328125
16,1443,4.680468749999999
17,1464,4.96640625
18,1447,5.2490234375
19,1459,5.533984375
20,1479,5.8228515624999995
21,1470,6.1099609375
22,1503,6.403515625000001
23,1482,6.69296875
24,1494,6.984765625
25,1494,7.2765625
26,1491,7.5677734375
27,1441,7.84921875
28,1478,8.137890624999999
29,1460,8.423046874999999
30,1451,8.7064453125
31,1505,9.000390625
32,1449,9.283398437499999
33,1446,9.5658203125
34,1457,9.850390625
35,1464,10.136328125
36,1465,10.4224609375
37,1394,10.6947265625
38,1518,10.9912109375
39,1442,11.2728515625
40,1454,11.5568359375
41,1483,11.846484375000001
42,1457,12.131054687499999
43,1481,12.4203125
44,1518,12.716796875
45,1437,12.9974609375
46,1453,13.28125
47,1497,13.5736328125
48,1546,13.875585937500002
49,1524,14.173242187499998
50,1564,14.4787109375
51,1489,14.76953125
52,1529,15.0681640625
53,1499,15.360937499999999
54,1424,15.639062500000001
55,1529,15.9376953125
56,1490,16.228710937499997
57,1514,16.5244140625
58,1502,16.8177734375
59,1498,17.1103515625
60,1471,17.397656249999997
61,1563,17.7029296875
62,1527,18.001171875
63,1594,18.3125
64,1545,18.6142578125
65,1582,18.9232421875
66,1588,19.2333984375
67,1643,19.554296875
68,1591,19.8650390625
69,1571,20.171875
70,1611,20.4865234375
71,1649,20.80859375
72,1633,21.1275390625
73,1635,21.446875000000002
74,1660,21.771093750000002
75,1591,22.0818359375
76,1658,22.4056640625
77,1691,22.7359375
78,1743,23.0763671875
79,1717,23.41171875
80,1671,23.7380859375
81,1720,24.0740234375
82,1775,24.420703125000003
83,1769,24.7662109375
84,1698,25.0978515625
85,1755,25.440625
86,1847,25.801367187500002
87,1825,26.1578125
88,1888,26.5265625
89,1841,26.8861328125
90,1770,27.231835937499998
91,1857,27.59453125
92,1889,27.9634765625
93,1932,28.340820312499996
94,1912,28.714257812499998
95,1864,29.0783203125
96,1951,29.459374999999998
97,2013,29.8525390625
98,2042,30.2513671875
99,1947,30.631640625
100,2020,31.026171875000003
101,1997,31.4162109375
102,2084,31.8232421875
103,2066,32.226757812500004
104,2129,32.642578125
105,2070,33.046875
106,2070,33.451171875
107,2024,33.846484375
108,2066,34.25
109,2127,34.6654296875
110,2223,35.099609375
111,2181,35.5255859375
112,2321,35.978906249999994
113,2345,36.436914062499994
114,2328,36.8916015625
